73	Union{Nothing, Int64}"70, 231, 138, 215, 217, 102, 230, 67"	"122.542, 30.1054, 72.4341, 38.9004, 100.907, 188.423, 49.0157, 67.5646"	"1225.42, 301.054, 724.341, 389.004, 1009.07, 1884.23, 490.157, 675.646"	"244.818, 176.487, 170.88, 149.508, 118.485, 134.69, 152.893, 160.702"	1000.0	1010.0	240351.78905387054
74	Union{Nothing, Int64}"53, 197, 203, 35, 36"	"221.366, 327.596, 163.202, 72.7086, 211.195"	"2213.66, 3275.96, 1632.02, 727.086, 2111.95"	"381.425, 179.011, 246.83, 250.05, 255.157"	1000.0	1010.0	486290.24109393824
75	Union{Nothing, Int64}"36, 35, 72, 46, 47, 54"	"209.959, 217.884, 33.4527, 38.6161, 61.6234, 119.174"	"2099.59, 2178.84, 334.527, 386.161, 616.234, 1191.74"	"118.089, 114.739, 202.002, 267.649, 238.6, 272.356"	1000.0	1010.0	58065.78237845446
76	Union{Nothing, Int64}"71, 44, 335, 205, 72, 206, 204"	"160.019, 63.5928, 26.4919, 146.849, 8.72104, 48.5275, 127.658"	"1600.19, 635.928, 264.919, 1468.49, 87.2104, 485.275, 1276.58"	"180.427, 135.447, 140.431, 135.794, 313.102, 143.265, 90.0"	1000.0	1010.0	157377.96591226573
77	Union{Nothing, Int64}"80, 312, 78, 87, 184, 210, 211"	"9.09038, 220.997, 85.7939, 136.876, 77.0063, 96.03, 81.0633"	"90.9038, 2209.97, 857.939, 1368.76, 770.063, 960.3, 810.633"	"86.0, 57.9828, 180.094, 213.565, 321.972, 237.539, 198.399"	1000.0	1010.0	560447.8965695058
78	Union{Nothing, Int64}"80, 77, 184, 85, 207, 205, 206"	"123.029, 85.7939, 50.1395, 129.09, 19.4194, 32.6715, 108.782"	"1230.29, 857.939, 501.395, 1290.9, 194.194, 326.715, 1087.82"	"153.264, 180.094, 206.456, 129.0, 209.423, 168.372, 139.807"	1000.0	1010.0	606550.216812772
79	Union{Nothing, Int64}"47, 316, 314, 56, 46, 311"	"124.924, 122.57, 47.9768, 111.171, 127.543, 152.566"	"1249.24, 1225.7, 479.768, 1111.71, 1275.43, 1525.66"	"140.471, 211.149, 223.329, 241.0, 155.57, 180.236"	1000.0	1010.0	2.292866822244807e6
80	Union{Nothing, Int64}"312, 77, 78, 207, 16"	"162.855, 9.09038, 123.029, 74.6696, 106.795"	"1628.55, 90.9038, 1230.29, 746.696, 1067.95"	"60.8769, 86.0, 153.264, 152.0, 130.698"	1000.0	1010.0	2.377494532342165e6
81	Union{Nothing, Int64}"329, 54, 47, 56, 82"	"178.653, 524.553, 68.1419, 164.534, 471.087"	"1786.53, 5245.53, 681.419, 1645.34, 4710.87"	"864.381, 183.633, 315.311, 178.045, 164.201"	1000.0	1010.0	1.0334204540942663e6
82	Union{Nothing, Int64}"329, 81, 320, 56, 311, 318"	"493.841, 471.087, 408.566, 145.571, 91.5641, 425.058"	"4938.41, 4710.87, 4085.66, 1455.71, 915.641, 4250.58"	"784.245, 164.201, 365.728, 251.241, 402.892, 556.518"	1000.0	1010.0	2.245137644081886e6
83	Union{Nothing, Int64}"88, 338, 84, 172, 180, 195, 188"	"52.9339, 74.7908, 43.4427, 182.722, 45.8164, 169.811, 140.271"	"529.339, 747.908, 434.427, 1827.22, 458.164, 1698.11, 1402.71"	"180.161, 269.666, 184.133, 212.953, 406.361, 198.759, 99.0808"	1000.0	1010.0	200288.5949663953
84	Union{Nothing, Int64}"88, 83, 175, 176, 182, 185, 188"	"96.6628, 43.4427, 135.509, 152.371, 43.1753, 147.313, 143.562"	"966.628, 434.427, 1355.09, 1523.71, 431.753, 1473.13, 1435.62"	"260.847, 184.133, 232.355, 123.357, 192.588, 157.813, 120.333"	1000.0	1010.0	261420.99176064052
85	Union{Nothing, Int64}"184, 78, 317, 205"	"145.441, 129.09, 124.094, 134.197"	"1454.41, 1290.9, 1240.94, 1341.97"	"126.178, 129.0, 151.03, 131.848"	1000.0	1010.0	2.629364384224607e6
86	Union{Nothing, Int64}"176, 87, 175, 315, 313"	"109.688, 83.6645, 173.037, 76.3099, 140.383"	"1096.88, 836.645, 1730.37, 763.099, 1403.83"	"158.808, 203.59, 89.9444, 223.0, 162.733"	1000.0	1010.0	548019.9177997864
87	Union{Nothing, Int64}"176, 86, 182, 77, 211, 184, 313"	"123.194, 83.6645, 84.6695, 136.876, 102.754, 151.851, 84.6495"	"1231.94, 836.645, 846.695, 1368.76, 1027.54, 1518.51, 846.495"	"131.381, 203.59, 199.444, 213.565, 284.0, 208.806, 279.029"	1000.0	1010.0	491224.20837303833
88	Union{Nothing, Int64}"173, 172, 310, 83, 84, 89, 182"	"86.041, 180.116, 29.992, 52.9339, 96.6628, 54.9807, 217.384"	"860.41, 1801.16, 299.92, 529.339, 966.628, 549.807, 2173.84"	"242.825, 125.176, 232.768, 180.161, 260.847, 285.871, 159.226"	1000.0	1010.0	1.7911941280147356e6
89	Union{Nothing, Int64}"173, 88, 48, 310, 309"	"146.986, 54.9807, 141.513, 213.816, 66.7596"	"1469.86, 549.807, 1415.13, 2138.16, 667.596"	"142.021, 285.871, 125.674, 96.7729, 110.368"	1000.0	1010.0	452009.86915649753
90	Union{Nothing, Int64}"48, 309, 33, 34, 91, 181, 210"	"139.082, 156.026, 51.3694, 124.721, 84.6494, 141.031, 15.4989"	"1390.82, 1560.26, 513.694, 1247.21, 846.494, 1410.31, 154.989"	"172.627, 252.018, 227.264, 223.66, 192.44, 148.408, 402.375"	1000.0	1010.0	757628.2074445761
91	Union{Nothing, Int64}"48, 90, 275, 57, 49, 181, 183"	"142.636, 84.6494, 175.802, 79.829, 75.7587, 80.7459, 71.545"	"1426.36, 846.494, 1758.02, 798.29, 757.587, 807.459, 715.45"	"266.017, 192.44, 103.392, 243.393, 328.055, 134.0, 313.5"	1000.0	1010.0	392209.69046035083
